NAME, PARENT, GRAPH_TYPE, GOD_ONLY, IS_TITLE, IS_PROFESSION, IS_HIDDEN, MONEY_REQUIRED, POINTS_REQUIRED, SKILLS_REQUIRED_COUNT, SKILLS_REQUIRED, PRECLUSION_SKILLS, XP_TYPE, XP_COST, XP_CAP, MISSIONS_REQUIRED, APPRENTICESHIPS_REQUIRED, STATS_REQUIRED, SPECIES_REQUIRED, JEDI_STATE_REQUIRED, SKILL_ABILITY, COMMANDS, SKILL_MODS, SCHEMATICS_GRANTED, SCHEMATICS_REVOKED, SEARCHABLE, ENDER
combat_melee_basic, , fourByFour, False, False, False, False, 0, 0, 0, , , , 0, 0, , 0, , , none, , , , , , True, 0
combat_ranged_weapons_basic, , fourByFour, False, False, False, False, 0, 0, 0, , , , 0, 0, , 0, , , none, , , , , , True, 0
demo_combat, , fourByFour, False, False, False, False, 0, 0, 0, , , , 0, 0, , 0, , , none, , , , , , True, 0
common_knowledge, , fourByFour, False, False, False, False, 0, 0, 0, , , , 0, 0, , 0, , , none, , , , , , True, 0
utility, , fourByFour, True, False, False, False, 0, 0, 0, , , , 0, 0, , 0, , , none, , , , , , True, 0
utility_beta, utility, fourByFour, True, False, False, False, 0, 0, 0, , , , 0, 0, , 0, , , none, , , , , , True, 0
utility_beta_demo_combat, utility_beta, fourByFour, True, False, False, False, 0, 0, 0, , , , 0, 0, , 0, , , none, , , , , , True, 0
utility_player, utility, fourByFour, True, False, False, False, 0, 0, 0, , , , 0, 0, , 0, , , none, , , , , , True, 0
social, , fourByFour, True, False, False, False, 0, 0, 0, , , , 0, 0, , 0, , , none, , , , , , True, 0
social_entertainer, social, fourByFour, False, False, True, False, 0, 0, 0, , , , 0, 0, , 0, , , none, , , , , , True, 0
social_entertainer_novice, social_entertainer, fourByFour, False, True, False, False, 100, 1, 0, , , , 0, 0, , 0, , , none, , private_entertainer_novice,musician,dancer,imagedesigner,startDance,stopDance,startMusic,stopMusic,flourish+1,flourish+2,flourish+3,flourish+4,flourish+5,flourish+6,flourish+7,flourish+8,startDance+basic,startDance+rhythmic,startMusic+starwars1,slitherhorn, healing_dance_wound=5,healing_music_wound=5,healing_music_ability=5,healing_dance_ability=5,hair=1,face=1, craftInstrumentGroupA, , True, 0
social_entertainer_master, social_entertainer, fourByFour, False, True, False, False, 5000, 1, 0, social_entertainer_hairstyle_04,social_entertainer_music_04,social_entertainer_dance_04,social_entertainer_healing_04, , , 0, 0, , 0, , , none, , private_entertainer_master,startDance+footloose2,startDance+formal2,startMusic+ceremonial,mandoviol, healing_dance_ability=10,healing_music_ability=10,healing_dance_wound=10,healing_music_wound=10, , , True, 0
social_entertainer_hairstyle_01, social_entertainer, fourByFour, False, False, False, False, 1000, 1, 0, social_entertainer_novice, , imagedesigner, 1000, 10000, , 0, , , none, , private_entertainer_hair_1, hair=1, , , True, 0
social_entertainer_hairstyle_02, social_entertainer_hairstyle_01, fourByFour, False, False, False, False, 2000, 1, 0, social_entertainer_hairstyle_01, , imagedesigner, 5000, 20000, , 0, , , none, , private_entertainer_hair_2, markings=1,face=1, , , True, 0
social_entertainer_hairstyle_03, social_entertainer_hairstyle_02, fourByFour, False, False, False, False, 3000, 1, 0, social_entertainer_hairstyle_02, , imagedesigner, 10000, 30000, , 0, , , none, , private_entertainer_hair_3, hair=1, , , True, 0
social_entertainer_hairstyle_04, social_entertainer_hairstyle_03, fourByFour, False, True, False, False, 4000, 1, 0, social_entertainer_hairstyle_03, , imagedesigner, 15000, 30000, , 0, , , none, , private_entertainer_hair_4, hair=1,face=1, , , True, 0
social_entertainer_music_01, social_entertainer, fourByFour, False, False, False, False, 1000, 1, 0, social_entertainer_novice, , music, 1000, 10000, , 0, , , none, , private_entertainer_music_1,startMusic+rock,fizz, healing_music_ability=5, , , True, 0
social_entertainer_music_02, social_entertainer_music_01, fourByFour, False, False, False, False, 2000, 1, 0, social_entertainer_music_01, , music, 5000, 30000, , 0, , , none, , private_entertainer_music_2,startMusic+starwars2, healing_music_ability=5, craftInstrumentGroupB, , True, 0
social_entertainer_music_03, social_entertainer_music_02, fourByFour, False, False, False, False, 3000, 1, 0, social_entertainer_music_02, , music, 15000, 90000, , 0, , , none, , private_entertainer_music_3,startMusic+folk,fanfar, healing_music_ability=5, , , True, 0
social_entertainer_music_04, social_entertainer_music_03, fourByFour, False, True, False, False, 4000, 1, 0, social_entertainer_music_03, , music, 45000, 150000, , 0, , , none, , private_entertainer_music_4,startMusic+starwars3,kloohorn, healing_music_ability=10, , , True, 0
social_entertainer_dance_01, social_entertainer, fourByFour, False, False, False, False, 1000, 1, 0, social_entertainer_novice, , dance, 1000, 10000, , 0, , , none, , private_entertainer_dance_1,startDance+basic2, healing_dance_ability=5, , , True, 0
social_entertainer_dance_02, social_entertainer_dance_01, fourByFour, False, False, False, False, 2000, 1, 0, social_entertainer_dance_01, , dance, 5000, 30000, , 0, , , none, , private_entertainer_dance_2,startDance+rhythmic2, healing_dance_ability=5, , , True, 0
social_entertainer_dance_03, social_entertainer_dance_02, fourByFour, False, False, False, False, 3000, 1, 0, social_entertainer_dance_02, , dance, 15000, 90000, , 0, , , none, , private_entertainer_dance_3,startDance+footloose, healing_dance_ability=5, , , True, 0
social_entertainer_dance_04, social_entertainer_dance_03, fourByFour, False, True, False, False, 4000, 1, 0, social_entertainer_dance_03, , dance, 45000, 150000, , 0, , , none, , private_entertainer_dance_4,startDance+formal, healing_dance_ability=10, , , True, 0
social_entertainer_healing_01, social_entertainer, fourByFour, False, False, False, False, 1000, 1, 0, social_entertainer_novice, , entertainer_healing, 1000, 10000, , 0, , , none, , private_entertainer_healing_1, healing_dance_wound=5,healing_music_wound=5, , , True, 0
